id,content,category
1,I have had a fever for three days,general_physician
2,Feeling tired and weak all the time,general_physician
3,Persistent cough with mild cold,general_physician
4,Body ache and chills since yesterday,general_physician
5,I need a general health checkup,general_physician
6,Sore throat and runny nose,general_physician
7,Feeling dizzy and weak in the morning,general_physician
8,Mild fever with headache,general_physician
9,Fatigue and loss of appetite,general_physician
10,I want a routine blood test,general_physician
11,Recurring low grade fever at night,general_physician
12,Cough and sneezing for a week,general_physician
13,Feeling weak after a viral infection,general_physician
14,General weakness and tiredness,general_physician
15,I need a seasonal flu vaccine,general_physician
16,Mild body pain and fever,general_physician
17,Frequent tiredness during the day,general_physician
18,Dry cough and mild chest discomfort,general_physician
19,I want a full body health screening,general_physician
20,Loss of appetite and mild fever,general_physician
21,Cold and cough with mild sore throat,general_physician
22,Feeling unwell after travel,general_physician
23,Mild fever with body ache,general_physician
24,I need a general consultation,general_physician
25,Fatigue and mild headache,general_physician
26,Chest pain while walking,cardiologist
27,Shortness of breath on exertion,cardiologist
28,High blood pressure readings at home,cardiologist
29,Irregular heartbeat and palpitations,cardiologist
30,Swelling in legs and feet,cardiologist
31,Chest tightness after climbing stairs,cardiologist
32,Frequent palpitations at night,cardiologist
33,Pain in left arm with chest discomfort,cardiologist
34,History of heart disease in family,cardiologist
35,High cholesterol levels in recent test,cardiologist
36,Dizziness with chest discomfort,cardiologist
37,Palpitations after mild exercise,cardiologist
38,Feeling pressure in the chest,cardiologist
39,Shortness of breath while lying down,cardiologist
40,Blood pressure not controlled by medicines,cardiologist
41,Racing heartbeat during rest,cardiologist
42,Chest pain radiating to the jaw,cardiologist
43,I need a heart checkup,cardiologist
44,Murmur detected in recent exam,cardiologist
45,Fatigue with mild chest discomfort,cardiologist
46,Swelling in ankles after long standing,cardiologist
47,Pain in chest after emotional stress,cardiologist
48,Heart rate above 100 at rest,cardiologist
49,Follow up for heart condition,cardiologist
50,Family history of sudden cardiac death,cardiologist
51,Itchy rash on both arms,dermatologist
52,Acne breakouts on the face,dermatologist
53,Hair fall and thinning on top,dermatologist
54,Red patches on the skin,dermatologist
55,Skin dryness and flaking,dermatologist
56,Pimple like bumps on the back,dermatologist
57,Dark spots on the face,dermatologist
58,Itching and redness in the groin area,dermatologist
59,White patches on the skin,dermatologist
60,Nail discoloration and brittleness,dermatologist
61,Eczema flare up on the hands,dermatologist
62,Allergic skin reaction after new soap,dermatologist
63,Recurring fungal infection on feet,dermatologist
64,Rash after eating a new food,dermatologist
65,Painful boils on the neck,dermatologist
66,Skin tags on the neck,dermatologist
67,Warts on the fingers,dermatologist
68,Sunburn with peeling skin,dermatologist
69,Hives after a new medicine,dermatologist
70,Persistent dandruff and scalp itching,dermatologist
71,Mole that changed color recently,dermatologist
72,Itchy scalp with small bumps,dermatologist
73,Skin rash spreading on the body,dermatologist
74,Dry and cracked skin on elbows,dermatologist
75,Repeated skin allergy in summer,dermatologist
76,Knee pain while climbing stairs,orthopedic
77,Lower back pain after lifting,orthopedic
78,Shoulder pain while raising the arm,orthopedic
79,Ankle sprain after a fall,orthopedic
80,Joint stiffness in the morning,orthopedic
81,Hip pain while walking,orthopedic
82,Neck pain after long hours at desk,orthopedic
83,Wrist pain after typing,orthopedic
84,Suspected fracture after a fall,orthopedic
85,Heel pain in the morning,orthopedic
86,Swelling around the knee,orthopedic
87,Elbow pain after sports,orthopedic
88,Chronic back pain for months,orthopedic
89,Sports injury to the leg,orthopedic
90,Shoulder dislocation history,orthopedic
91,Joint pain with swelling,orthopedic
92,Pain in the foot after running,orthopedic
93,Stiffness in the fingers,orthopedic
94,Leg pain while walking short distances,orthopedic
95,Posture related back pain,orthopedic
96,Sciatica pain down the leg,orthopedic
97,Knee locking or catching,orthopedic
98,Recurring ankle instability,orthopedic
99,Muscle strain in the thigh,orthopedic
100,Bone pain after an accident,orthopedic
101,Frequent headaches in the evening,neurologist
102,Dizziness and light headedness,neurologist
103,Numbness in hands and feet,neurologist
104,Memory problems in recent months,neurologist
105,Tingling sensation in fingers,neurologist
106,Recurring migraine attacks,neurologist
107,Seizure episode last week,neurologist
108,Tremor in the hands,neurologist
109,Slurred speech one time,neurologist
110,Weakness on one side of the body,neurologist
111,Chronic headache with nausea,neurologist
112,Vertigo with spinning sensation,neurologist
113,Loss of balance while walking,neurologist
114,Pins and needles in the feet,neurologist
115,Facial twitching on one side,neurologist
116,Difficulty concentrating,neurologist
117,Sleep related movement issues,neurologist
118,Recurring blackouts,neurologist
119,Neuropathy related pain,neurologist
120,Headache after a head injury,neurologist
121,Painful nerve pain in legs,neurologist
122,Coordination problems while walking,neurologist
123,Double vision occasionally,neurologist
124,Muscle weakness in the arms,neurologist
125,Persistent tingling in the hands,neurologist
126,Stomach pain after eating,gastroenterologist
127,Acidity and heartburn,gastroenterologist
128,Bloating and gas problems,gastroenterologist
129,Constipation for several days,gastroenterologist
130,Diarrhea for two days,gastroenterologist
131,Nausea and vomiting,gastroenterologist
132,Blood in stool,gastroenterologist
133,Indigestion after meals,gastroenterologist
134,Loss of appetite with weight loss,gastroenterologist
135,Recurring stomach cramps,gastroenterologist
136,Jaundice with yellow eyes,gastroenterologist
137,Pain in the right upper abdomen,gastroenterologist
138,Irritable bowel symptoms,gastroenterologist
139,Chronic acidity at night,gastroenterologist
140,Bloating after dairy products,gastroenterologist
141,Bloody diarrhea,gastroenterologist
142,Persistent nausea in the morning,gastroenterologist
143,Abdominal pain with fever,gastroenterologist
144,Rectal bleeding,gastroenterologist
145,Swallowing difficulty,gastroenterologist
146,Chronic constipation,gastroenterologist
147,Stomach ulcer history,gastroenterologist
148,Liver related discomfort,gastroenterologist
149,Gallbladder pain after meals,gastroenterologist
150,Vomiting after food,gastroenterologist
151,Ear pain on the right side,ent
152,Blocked nose for a week,ent
153,Sore throat with difficulty swallowing,ent
154,Ringing in the ears,ent
155,Hearing loss in one ear,ent
156,Chronic sinus pressure,ent
157,Frequent throat infections,ent
158,Snoring and mouth breathing,ent
159,Itchy ears and discharge,ent
160,Loss of smell,ent
161,Nose bleeding frequently,ent
162,Voice hoarseness for weeks,ent
163,Tonsil pain and swelling,ent
164,Ear infection with fever,ent
165,Nose blockage during sleep,ent
166,Throat clearing constantly,ent
167,Post nasal drip,ent
168,Recurring sinus headaches,ent
169,Pain in the ear while flying,ent
170,Mouth ulcers that will not heal,ent
171,Ear buzzing after loud noise,ent
172,Nasal allergy in the morning,ent
173,Sore throat with cough,ent
174,Trouble hearing in crowded places,ent
175,Feeling of fullness in the ear,ent
176,Severe chest pain with sweating,emergency
177,Difficulty breathing at rest,emergency
178,Sudden weakness on one side of the body,emergency
179,Slurred speech with confusion,emergency
180,Severe bleeding from a wound,emergency
181,Sudden loss of vision in one eye,emergency
182,Fainting and unresponsive,emergency
183,Severe abdominal pain with vomiting,emergency
184,Severe head injury with vomiting,emergency
185,Burns over a large area,emergency
186,Seizure lasting more than five minutes,emergency
187,Severe allergic reaction with swelling,emergency
188,Crushing chest pain with breathlessness,emergency
189,Coughing up blood,emergency
190,Severe asthma attack,emergency
191,Sudden confusion and disorientation,emergency
192,Major road accident injuries,emergency
193,Poisoning or overdose,emergency
194,Severe dehydration with weakness,emergency
195,Sudden inability to speak,emergency
196,Chest pain with rapid pulse,emergency
197,Severe pain in the abdomen with fever,emergency
198,Heavy bleeding after a fall,emergency
199,Unconscious after a fall,emergency
200,Severe difficulty breathing with blue lips,emergency
201,Mild fever and tiredness for two days,general_physician
202,Feeling weak after having a cold,general_physician
203,Runny nose and mild fever since yesterday,general_physician
204,Feeling tired throughout the day,general_physician
205,Mild headache with a common cold,general_physician
206,Body aches with a low grade fever,general_physician
207,Feeling generally unwell since this morning,general_physician
208,Occasional cough and mild fever,general_physician
209,Feeling weak after recovering from flu,general_physician
210,Loss of energy and mild body aches,general_physician
211,Mild sore throat and tiredness,general_physician
212,Feeling feverish with no other severe symptoms,general_physician
213,General fatigue for several days,general_physician
214,Mild chills and body discomfort,general_physician
215,I have a mild cold and headache,general_physician
216,Feeling sleepy and tired more than usual,general_physician
217,Mild fever after recent travel,general_physician
218,Feeling weak with a poor appetite,general_physician
219,General body weakness for a few days,general_physician
